Record_MonthName,Fault_Group,Fleet,Record_Number
1/2/2017,Pneumatic System,ABC,21045
1/2/2017,Pneumatic System,ABC,21049
1/2/2017,Pneumatic System,ABC,21050
1/2/2017,Pneumatic System,ABC,21055
1/2/2017,Pneumatic System,ABC,21059
1/2/2017,Pneumatic System,ABC,21062
1/2/2017,Electrical System,ABC,21064
1/2/2017,Electrical System,ABC,21068
1/2/2017,Electrical System,ABC,21071
1/2/2017,Electrical System,ABC,21073
1/2/2017,Electrical System,XYZ,21079
1/2/2017,Brake System,ABC,21082
1/2/2017,Brake System,ABC,21085
1/2/2017,Auxiliary System,ABC,21091
1/2/2017,Auxiliary System,XYZ,21095
1/2/2017,Auxiliary System,ABC,21101
1/2/2017,Auxiliary System,XYZ,21104
1/2/2017,Auxiliary System,ABC,21110
1/2/2017,Aircon System,XYZ,21114
1/2/2017,Aircon System,ABC,21115
1/2/2017,Aircon System,ABC,21117
1/2/2017,Aircon System,ABC,21120
1/2/2017,Aircon System,ABC,21123
1/2/2017,Aircon System,XYZ,21129
1/2/2017,Aircon System,ABC,21133
1/2/2017,Aircon System,XYZ,21137
