Record_MonthName,Fault_Group,Fleet,Record_Number
1/2/2017,Aircon System,XYZ,21143
1/2/2017,Aircon System,XYZ,21148
1/2/2017,Aircon System,XYZ,21154
1/2/2017,Aircon System,XYZ,21158
1/2/2017,Aircon System,ABC,21164
1/2/2017,Aircon System,ABC,21170
1/2/2017,Aircon System,ABC,21176
1/2/2017,Aircon System,XYZ,21181
1/2/2017,Aircon System,ABC,21185
1/2/2017,Aircon System,XYZ,21190
1/2/2017,Aircon System,ABC,21192
1/2/2017,Aircon System,ABC,21195
1/2/2017,Aircon System,ABC,21196
1/2/2017,Aircon System,ABC,21199
1/2/2017,Aircon System,ABC,21200
1/2/2017,Aircon System,ABC,21205
1/2/2017,Aircon System,XYZ,21208
1/2/2017,Aircon System,ABC,21209
1/2/2017,Aircon System,ABC,21215
1/2/2017,Aircon System,ABC,21216
1/2/2017,Aircon System,ABC,21218
1/2/2017,Aircon System,ABC,21219
1/2/2017,Aircon System,XYZ,21223
1/2/2017,Aircon System,ABC,21224
1/2/2017,Aircon System,ABC,21229
1/2/2017,Aircon System,XYZ,21234
1/2/2017,Aircon System,XYZ,21236
